stem,output,morph
dalaq,dalaqti,PAST+FIRST+MF+SINGULAR+COMPLETE
dalaq,dəlaqten,PAST+SECOND+F+PLURAL+COMPLETE
dalaq,dalaqt,PAST+SECOND+F+SINGULAR+COMPLETE
dalaq,dəlaqtem,PAST+SECOND+M+PLURAL+COMPLETE
dalaq,dalaqta,PAST+SECOND+M+SINGULAR+COMPLETE
dalaq,daləqu,PAST+THIRD+F+PLURAL+COMPLETE
dalaq,daləqa,PAST+THIRD+F+SINGULAR+COMPLETE
dalaq,daləqu,PAST+THIRD+M+PLURAL+COMPLETE
dalaq,dalaq,PAST+THIRD+M+SINGULAR+COMPLETE
dalaq,doləqot,PRESENT+FIRST+F+PLURAL+COMPLETE
dalaq,doleqet,PRESENT+FIRST+F+SINGULAR+COMPLETE
dalaq,doləqim,PRESENT+FIRST+M+PLURAL+COMPLETE
dalaq,doleiq,PRESENT+FIRST+M+SINGULAR+COMPLETE
dalaq,doləqot,PRESENT+SECOND+F+PLURAL+COMPLETE
dalaq,doleqet,PRESENT+SECOND+F+SINGULAR+COMPLETE
dalaq,doləqim,PRESENT+SECOND+M+PLURAL+COMPLETE
dalaq,doleiq,PRESENT+SECOND+M+SINGULAR+COMPLETE
dalaq,doləqot,PRESENT+THIRD+F+PLURAL+COMPLETE
dalaq,doleqet,PRESENT+THIRD+F+SINGULAR+COMPLETE
dalaq,doləqim,PRESENT+THIRD+M+PLURAL+COMPLETE
dalaq,doleiq,PRESENT+THIRD+M+SINGULAR+COMPLETE
damam,dəmumot,BEINONI+FIRST+F+PLURAL+COMPLETE
damam,dəmuma,BEINONI+FIRST+F+SINGULAR+COMPLETE
damam,dəmumim,BEINONI+FIRST+M+PLURAL+COMPLETE
damam,damum,BEINONI+FIRST+M+SINGULAR+COMPLETE
damam,dəmumot,BEINONI+SECOND+F+PLURAL+COMPLETE
damam,dəmuma,BEINONI+SECOND+F+SINGULAR+COMPLETE
damam,dəmumim,BEINONI+SECOND+M+PLURAL+COMPLETE
damam,damum,BEINONI+SECOND+M+SINGULAR+COMPLETE
damam,dəmumot,BEINONI+THIRD+F+PLURAL+COMPLETE
damam,dəmuma,BEINONI+THIRD+F+SINGULAR+COMPLETE
damam,dəmumim,BEINONI+THIRD+M+PLURAL+COMPLETE
damam,damum,BEINONI+THIRD+M+SINGULAR+COMPLETE
damam,nidmom,FUTURE+FIRST+MF+PLURAL+COMPLETE
damam,nidmom,FUTURE+FIRST+MF+PLURAL+MISSING
damam,ʔedmom,FUTURE+FIRST+MF+SINGULAR+COMPLETE
damam,ʔedmom,FUTURE+FIRST+MF+SINGULAR+MISSING
damam,dəmoməna,IMPERATIVE+SECOND+F+PLURAL+COMPLETE
damam,dəmoməna,IMPERATIVE+SECOND+F+PLURAL+MISSING
damam,diməmi,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
damam,diməmu,IMPERATIVE+SECOND+M+PLURAL+COMPLETE
damam,dəmom,IMPERATIVE+SECOND+M+SINGULAR+COMPLETE
damam,dəmom,IMPERATIVE+SECOND+M+SINGULAR+MISSING
damam,lidmom,INFINITIVE+E+E+E+COMPLETE
damam,lidmom,INFINITIVE+E+E+E+MISSING
damam,damamnu,PAST+FIRST+MF+PLURAL+COMPLETE
damam,damamti,PAST+FIRST+MF+SINGULAR+COMPLETE
damam,dəmamten,PAST+SECOND+F+PLURAL+COMPLETE
damam,damamt,PAST+SECOND+F+SINGULAR+COMPLETE
damam,dəmamtem,PAST+SECOND+M+PLURAL+COMPLETE
damam,damamta,PAST+SECOND+M+SINGULAR+COMPLETE
damam,daməmu,PAST+THIRD+F+PLURAL+COMPLETE
damam,daməma,PAST+THIRD+F+SINGULAR+COMPLETE
damam,daməmu,PAST+THIRD+M+PLURAL+COMPLETE
damam,damam,PAST+THIRD+M+SINGULAR+COMPLETE
damam,doməmot,PRESENT+FIRST+F+PLURAL+COMPLETE
damam,domemet,PRESENT+FIRST+F+SINGULAR+COMPLETE
damam,doməmim,PRESENT+FIRST+M+PLURAL+COMPLETE
damam,domeim,PRESENT+FIRST+M+SINGULAR+COMPLETE
damam,doməmot,PRESENT+SECOND+F+PLURAL+COMPLETE
damam,domemet,PRESENT+SECOND+F+SINGULAR+COMPLETE
damam,doməmim,PRESENT+SECOND+M+PLURAL+COMPLETE
damam,domeim,PRESENT+SECOND+M+SINGULAR+COMPLETE
damam,doməmot,PRESENT+THIRD+F+PLURAL+COMPLETE
damam,domemet,PRESENT+THIRD+F+SINGULAR+COMPLETE
damam,doməmim,PRESENT+THIRD+M+PLURAL+COMPLETE
damam,domeim,PRESENT+THIRD+M+SINGULAR+COMPLETE
damaʕ,dəmuʕot,BEINONI+FIRST+F+PLURAL+COMPLETE
damaʕ,dəmuʕa,BEINONI+FIRST+F+SINGULAR+COMPLETE
damaʕ,dəmuʕim,BEINONI+FIRST+M+PLURAL+COMPLETE
damaʕ,damuaʕ,BEINONI+FIRST+M+SINGULAR+COMPLETE
damaʕ,dəmuʕot,BEINONI+SECOND+F+PLURAL+COMPLETE
damaʕ,dəmuʕa,BEINONI+SECOND+F+SINGULAR+COMPLETE
damaʕ,dəmuʕim,BEINONI+SECOND+M+PLURAL+COMPLETE
damaʕ,damuaʕ,BEINONI+SECOND+M+SINGULAR+COMPLETE
damaʕ,dəmuʕot,BEINONI+THIRD+F+PLURAL+COMPLETE
damaʕ,dəmuʕa,BEINONI+THIRD+F+SINGULAR+COMPLETE
damaʕ,dəmuʕim,BEINONI+THIRD+M+PLURAL+COMPLETE
damaʕ,damuaʕ,BEINONI+THIRD+M+SINGULAR+COMPLETE
damaʕ,nidmaʕ,FUTURE+FIRST+MF+PLURAL+COMPLETE
damaʕ,ʔedmaʕ,FUTURE+FIRST+MF+SINGULAR+COMPLETE
damaʕ,dimʕu,IMPERATIVE+SECOND+F+PLURAL+COMPLETE
damaʕ,dimʕi,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
damaʕ,dimʕu,IMPERATIVE+SECOND+M+PLURAL+COMPLETE
damaʕ,dəmaʕ,IMPERATIVE+SECOND+M+SINGULAR+COMPLETE
damaʕ,lidmoaʕ,INFINITIVE+E+E+E+COMPLETE
damaʕ,lidmoaʕ,INFINITIVE+E+E+E+MISSING
damaʕ,damaʕnu,PAST+FIRST+MF+PLURAL+COMPLETE
damaʕ,damaʕti,PAST+FIRST+MF+SINGULAR+COMPLETE
damaʕ,dəmaʕten,PAST+SECOND+F+PLURAL+COMPLETE
damaʕ,damaʕt,PAST+SECOND+F+SINGULAR+COMPLETE
damaʕ,dəmaʕtem,PAST+SECOND+M+PLURAL+COMPLETE
damaʕ,damaʕta,PAST+SECOND+M+SINGULAR+COMPLETE
damaʕ,daməʕu,PAST+THIRD+F+PLURAL+COMPLETE
damaʕ,daməʕa,PAST+THIRD+F+SINGULAR+COMPLETE
damaʕ,daməʕu,PAST+THIRD+M+PLURAL+COMPLETE
damaʕ,damaʕ,PAST+THIRD+M+SINGULAR+COMPLETE
damaʕ,doməʕot,PRESENT+FIRST+F+PLURAL+COMPLETE
damaʕ,domaʕat,PRESENT+FIRST+F+SINGULAR+COMPLETE
damaʕ,doməʕim,PRESENT+FIRST+M+PLURAL+COMPLETE
damaʕ,domeiaʕ,PRESENT+FIRST+M+SINGULAR+COMPLETE
damaʕ,doməʕot,PRESENT+SECOND+F+PLURAL+COMPLETE
damaʕ,domaʕat,PRESENT+SECOND+F+SINGULAR+COMPLETE
damaʕ,doməʕim,PRESENT+SECOND+M+PLURAL+COMPLETE
damaʕ,domeiaʕ,PRESENT+SECOND+M+SINGULAR+COMPLETE
damaʕ,doməʕot,PRESENT+THIRD+F+PLURAL+COMPLETE
damaʕ,domaʕat,PRESENT+THIRD+F+SINGULAR+COMPLETE
damaʕ,doməʕim,PRESENT+THIRD+M+PLURAL+COMPLETE
damaʕ,domeiaʕ,PRESENT+THIRD+M+SINGULAR+COMPLETE
daqaʁ,dəquʁot,BEINONI+FIRST+F+PLURAL+COMPLETE
daqaʁ,dəquʁa,BEINONI+FIRST+F+SINGULAR+COMPLETE
daqaʁ,dəquʁim,BEINONI+FIRST+M+PLURAL+COMPLETE
daqaʁ,daquʁ,BEINONI+FIRST+M+SINGULAR+COMPLETE
daqaʁ,dəquʁot,BEINONI+SECOND+F+PLURAL+COMPLETE
daqaʁ,dəquʁa,BEINONI+SECOND+F+SINGULAR+COMPLETE
daqaʁ,dəquʁim,BEINONI+SECOND+M+PLURAL+COMPLETE
daqaʁ,daquʁ,BEINONI+SECOND+M+SINGULAR+COMPLETE
daqaʁ,dəquʁot,BEINONI+THIRD+F+PLURAL+COMPLETE
daqaʁ,dəquʁa,BEINONI+THIRD+F+SINGULAR+COMPLETE
daqaʁ,dəquʁim,BEINONI+THIRD+M+PLURAL+COMPLETE
daqaʁ,daquʁ,BEINONI+THIRD+M+SINGULAR+COMPLETE
daqaʁ,nidqoʁ,FUTURE+FIRST+MF+PLURAL+COMPLETE
daqaʁ,nidqoʁ,FUTURE+FIRST+MF+PLURAL+MISSING
daqaʁ,ʔedqoʁ,FUTURE+FIRST+MF+SINGULAR+COMPLETE
daqaʁ,ʔedqoʁ,FUTURE+FIRST+MF+SINGULAR+MISSING
daqaʁ,dəqoʁəna,IMPERATIVE+SECOND+F+PLURAL+COMPLETE
daqaʁ,dəqoʁəna,IMPERATIVE+SECOND+F+PLURAL+MISSING
daqaʁ,diqʁi,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
daqaʁ,diqʁu,IMPERATIVE+SECOND+M+PLURAL+COMPLETE
daqaʁ,dəqoʁ,IMPERATIVE+SECOND+M+SINGULAR+COMPLETE
daqaʁ,dəqoʁ,IMPERATIVE+SECOND+M+SINGULAR+MISSING
daqaʁ,lidqoʁ,INFINITIVE+E+E+E+COMPLETE
daqaʁ,lidqoʁ,INFINITIVE+E+E+E+MISSING
daqaʁ,daqaʁnu,PAST+FIRST+MF+PLURAL+COMPLETE
daqaʁ,daqaʁti,PAST+FIRST+MF+SINGULAR+COMPLETE
daqaʁ,dəqaʁten,PAST+SECOND+F+PLURAL+COMPLETE
daqaʁ,daqaʁt,PAST+SECOND+F+SINGULAR+COMPLETE
daqaʁ,dəqaʁtem,PAST+SECOND+M+PLURAL+COMPLETE
daqaʁ,daqaʁta,PAST+SECOND+M+SINGULAR+COMPLETE
daqaʁ,daqəʁu,PAST+THIRD+F+PLURAL+COMPLETE
daqaʁ,daqəʁa,PAST+THIRD+F+SINGULAR+COMPLETE
daqaʁ,daqəʁu,PAST+THIRD+M+PLURAL+COMPLETE
daqaʁ,daqaʁ,PAST+THIRD+M+SINGULAR+COMPLETE
daqaʁ,doqəʁot,PRESENT+FIRST+F+PLURAL+COMPLETE
daqaʁ,doqeʁet,PRESENT+FIRST+F+SINGULAR+COMPLETE
daqaʁ,doqəʁim,PRESENT+FIRST+M+PLURAL+COMPLETE
daqaʁ,doqeiʁ,PRESENT+FIRST+M+SINGULAR+COMPLETE
daqaʁ,doqəʁot,PRESENT+SECOND+F+PLURAL+COMPLETE
daqaʁ,doqeʁet,PRESENT+SECOND+F+SINGULAR+COMPLETE
daqaʁ,doqəʁim,PRESENT+SECOND+M+PLURAL+COMPLETE
daqaʁ,doqeiʁ,PRESENT+SECOND+M+SINGULAR+COMPLETE
daqaʁ,doqəʁot,PRESENT+THIRD+F+PLURAL+COMPLETE
daqaʁ,doqeʁet,PRESENT+THIRD+F+SINGULAR+COMPLETE
daqaʁ,doqəʁim,PRESENT+THIRD+M+PLURAL+COMPLETE
daqaʁ,doqeiʁ,PRESENT+THIRD+M+SINGULAR+COMPLETE
daʁas,dəʁusot,BEINONI+FIRST+F+PLURAL+COMPLETE
daʁas,dəʁusa,BEINONI+FIRST+F+SINGULAR+COMPLETE
daʁas,dəʁusim,BEINONI+FIRST+M+PLURAL+COMPLETE
daʁas,daʁus,BEINONI+FIRST+M+SINGULAR+COMPLETE
daʁas,dəʁusot,BEINONI+SECOND+F+PLURAL+COMPLETE
daʁas,dəʁusa,BEINONI+SECOND+F+SINGULAR+COMPLETE
daʁas,dəʁusim,BEINONI+SECOND+M+PLURAL+COMPLETE
daʁas,daʁus,BEINONI+SECOND+M+SINGULAR+COMPLETE
daʁas,dəʁusot,BEINONI+THIRD+F+PLURAL+COMPLETE
daʁas,dəʁusa,BEINONI+THIRD+F+SINGULAR+COMPLETE
daʁas,dəʁusim,BEINONI+THIRD+M+PLURAL+COMPLETE
daʁas,daʁus,BEINONI+THIRD+M+SINGULAR+COMPLETE
daʁas,nidʁos,FUTURE+FIRST+MF+PLURAL+COMPLETE
daʁas,nidʁos,FUTURE+FIRST+MF+PLURAL+MISSING
daʁas,ʔedʁos,FUTURE+FIRST+MF+SINGULAR+COMPLETE
daʁas,ʔedʁos,FUTURE+FIRST+MF+SINGULAR+MISSING
daʁas,diʁsu,IMPERATIVE+SECOND+F+PLURAL+COMPLETE
daʁas,dəʁosəna,IMPERATIVE+SECOND+F+PLURAL+MISSING
daʁas,diʁsi,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
daʁas,diʁsu,IMPERATIVE+SECOND+M+PLURAL+COMPLETE
daʁas,dəʁos,IMPERATIVE+SECOND+M+SINGULAR+COMPLETE
daʁas,dəʁos,IMPERATIVE+SECOND+M+SINGULAR+MISSING
daʁas,lidʁos,INFINITIVE+E+E+E+COMPLETE
daʁas,lidʁos,INFINITIVE+E+E+E+MISSING
daʁas,daʁasnu,PAST+FIRST+MF+PLURAL+COMPLETE
daʁas,daʁasti,PAST+FIRST+MF+SINGULAR+COMPLETE
daʁas,dəʁasten,PAST+SECOND+F+PLURAL+COMPLETE
daʁas,daʁast,PAST+SECOND+F+SINGULAR+COMPLETE
daʁas,dəʁastem,PAST+SECOND+M+PLURAL+COMPLETE
daʁas,daʁasta,PAST+SECOND+M+SINGULAR+COMPLETE
daʁas,daʁəsu,PAST+THIRD+F+PLURAL+COMPLETE
daʁas,daʁəsa,PAST+THIRD+F+SINGULAR+COMPLETE
daʁas,daʁəsu,PAST+THIRD+M+PLURAL+COMPLETE
daʁas,daʁas,PAST+THIRD+M+SINGULAR+COMPLETE
daʁas,doʁəsot,PRESENT+FIRST+F+PLURAL+COMPLETE
daʁas,doʁeset,PRESENT+FIRST+F+SINGULAR+COMPLETE
daʁas,doʁəsim,PRESENT+FIRST+M+PLURAL+COMPLETE
daʁas,doʁeis,PRESENT+FIRST+M+SINGULAR+COMPLETE
daʁas,doʁəsot,PRESENT+SECOND+F+PLURAL+COMPLETE
daʁas,doʁeset,PRESENT+SECOND+F+SINGULAR+COMPLETE
daʁas,doʁəsim,PRESENT+SECOND+M+PLURAL+COMPLETE
daʁas,doʁeis,PRESENT+SECOND+M+SINGULAR+COMPLETE
daʁas,doʁəsot,PRESENT+THIRD+F+PLURAL+COMPLETE
daʁas,doʁeset,PRESENT+THIRD+F+SINGULAR+COMPLETE
daʁas,doʁəsim,PRESENT+THIRD+M+PLURAL+COMPLETE
daʁas,doʁeis,PRESENT+THIRD+M+SINGULAR+COMPLETE
daʁaʃ,dəʁuʃot,BEINONI+FIRST+F+PLURAL+COMPLETE
daʁaʃ,dəʁuʃa,BEINONI+FIRST+F+SINGULAR+COMPLETE
daʁaʃ,dəʁuʃim,BEINONI+FIRST+M+PLURAL+COMPLETE
daʁaʃ,daʁuʃ,BEINONI+FIRST+M+SINGULAR+COMPLETE
daʁaʃ,dəʁuʃot,BEINONI+SECOND+F+PLURAL+COMPLETE
daʁaʃ,dəʁuʃa,BEINONI+SECOND+F+SINGULAR+COMPLETE
daʁaʃ,dəʁuʃim,BEINONI+SECOND+M+PLURAL+COMPLETE
daʁaʃ,daʁuʃ,BEINONI+SECOND+M+SINGULAR+COMPLETE
daʁaʃ,dəʁuʃot,BEINONI+THIRD+F+PLURAL+COMPLETE
daʁaʃ,dəʁuʃa,BEINONI+THIRD+F+SINGULAR+COMPLETE
daʁaʃ,dəʁuʃim,BEINONI+THIRD+M+PLURAL+COMPLETE
daʁaʃ,daʁuʃ,BEINONI+THIRD+M+SINGULAR+COMPLETE
daʁaʃ,nidʁoʃ,FUTURE+FIRST+MF+PLURAL+COMPLETE
daʁaʃ,nidʁoʃ,FUTURE+FIRST+MF+PLURAL+MISSING
daʁaʃ,ʔedʁoʃ,FUTURE+FIRST+MF+SINGULAR+COMPLETE
daʁaʃ,ʔedʁoʃ,FUTURE+FIRST+MF+SINGULAR+MISSING
daʁaʃ,diʁʃu,IMPERATIVE+SECOND+F+PLURAL+COMPLETE
daʁaʃ,dəʁoʃəna,IMPERATIVE+SECOND+F+PLURAL+MISSING
daʁaʃ,diʁʃi,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
daʁaʃ,diʁʃu,IMPERATIVE+SECOND+M+PLURAL+COMPLETE
daʁaʃ,dəʁoʃ,IMPERATIVE+SECOND+M+SINGULAR+COMPLETE
daʁaʃ,dəʁoʃ,IMPERATIVE+SECOND+M+SINGULAR+MISSING
daʁaʃ,lidʁoʃ,INFINITIVE+E+E+E+COMPLETE
daʁaʃ,lidʁoʃ,INFINITIVE+E+E+E+MISSING
daʁaʃ,daʁaʃnu,PAST+FIRST+MF+PLURAL+COMPLETE
daʁaʃ,daʁaʃti,PAST+FIRST+MF+SINGULAR+COMPLETE
daʁaʃ,dəʁaʃten,PAST+SECOND+F+PLURAL+COMPLETE
daʁaʃ,daʁaʃt,PAST+SECOND+F+SINGULAR+COMPLETE
daʁaʃ,dəʁaʃtem,PAST+SECOND+M+PLURAL+COMPLETE
daʁaʃ,daʁaʃta,PAST+SECOND+M+SINGULAR+COMPLETE
daʁaʃ,daʁəʃu,PAST+THIRD+F+PLURAL+COMPLETE
daʁaʃ,daʁəʃa,PAST+THIRD+F+SINGULAR+COMPLETE
daʁaʃ,daʁəʃu,PAST+THIRD+M+PLURAL+COMPLETE
daʁaʃ,daʁaʃ,PAST+THIRD+M+SINGULAR+COMPLETE
daʁaʃ,doʁəʃot,PRESENT+FIRST+F+PLURAL+COMPLETE
daʁaʃ,doʁeʃet,PRESENT+FIRST+F+SINGULAR+COMPLETE
daʁaʃ,doʁəʃim,PRESENT+FIRST+M+PLURAL+COMPLETE
daʁaʃ,doʁeiʃ,PRESENT+FIRST+M+SINGULAR+COMPLETE
daʁaʃ,doʁəʃot,PRESENT+SECOND+F+PLURAL+COMPLETE
daʁaʃ,doʁeʃet,PRESENT+SECOND+F+SINGULAR+COMPLETE
daʁaʃ,doʁəʃim,PRESENT+SECOND+M+PLURAL+COMPLETE
daʁaʃ,doʁeiʃ,PRESENT+SECOND+M+SINGULAR+COMPLETE
daʁaʃ,doʁəʃot,PRESENT+THIRD+F+PLURAL+COMPLETE
daʁaʃ,doʁeʃet,PRESENT+THIRD+F+SINGULAR+COMPLETE
daʁaʃ,doʁəʃim,PRESENT+THIRD+M+PLURAL+COMPLETE
daʁaʃ,doʁeiʃ,PRESENT+THIRD+M+SINGULAR+COMPLETE
daʁaΧ,dəʁuΧot,BEINONI+FIRST+F+PLURAL+COMPLETE
daʁaΧ,dəʁuΧa,BEINONI+FIRST+F+SINGULAR+COMPLETE
daʁaΧ,dəʁuΧim,BEINONI+FIRST+M+PLURAL+COMPLETE
daʁaΧ,daʁuΧ,BEINONI+FIRST+M+SINGULAR+COMPLETE
daʁaΧ,dəʁuΧot,BEINONI+SECOND+F+PLURAL+COMPLETE
daʁaΧ,dəʁuΧa,BEINONI+SECOND+F+SINGULAR+COMPLETE
daʁaΧ,dəʁuΧim,BEINONI+SECOND+M+PLURAL+COMPLETE
daʁaΧ,daʁuΧ,BEINONI+SECOND+M+SINGULAR+COMPLETE
daʁaΧ,dəʁuΧot,BEINONI+THIRD+F+PLURAL+COMPLETE
daʁaΧ,dəʁuΧa,BEINONI+THIRD+F+SINGULAR+COMPLETE
daʁaΧ,dəʁuΧim,BEINONI+THIRD+M+PLURAL+COMPLETE
daʁaΧ,daʁuΧ,BEINONI+THIRD+M+SINGULAR+COMPLETE
daʁaΧ,nidʁoΧ,FUTURE+FIRST+MF+PLURAL+COMPLETE
daʁaΧ,nidʁoΧ,FUTURE+FIRST+MF+PLURAL+MISSING
daʁaΧ,ʔedʁoΧ,FUTURE+FIRST+MF+SINGULAR+COMPLETE
daʁaΧ,ʔedʁoΧ,FUTURE+FIRST+MF+SINGULAR+MISSING
daʁaΧ,diʁΧu,IMPERATIVE+SECOND+F+PLURAL+COMPLETE
daʁaΧ,dəʁoΧəna,IMPERATIVE+SECOND+F+PLURAL+MISSING
daʁaΧ,diʁΧi,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
daʁaΧ,diʁΧu,IMPERATIVE+SECOND+M+PLURAL+COMPLETE
daʁaΧ,dəʁoΧ,IMPERATIVE+SECOND+M+SINGULAR+COMPLETE
daʁaΧ,dəʁoΧ,IMPERATIVE+SECOND+M+SINGULAR+MISSING
daʁaΧ,lidʁoΧ,INFINITIVE+E+E+E+COMPLETE
daʁaΧ,lidʁoΧ,INFINITIVE+E+E+E+MISSING
daʁaΧ,daʁaΧnu,PAST+FIRST+MF+PLURAL+COMPLETE
daʁaΧ,daʁaΧti,PAST+FIRST+MF+SINGULAR+COMPLETE
daʁaΧ,dəʁaΧten,PAST+SECOND+F+PLURAL+COMPLETE
daʁaΧ,daʁaΧt,PAST+SECOND+F+SINGULAR+COMPLETE
daʁaΧ,dəʁaΧtem,PAST+SECOND+M+PLURAL+COMPLETE
daʁaΧ,daʁaΧta,PAST+SECOND+M+SINGULAR+COMPLETE
daʁaΧ,daʁəΧu,PAST+THIRD+F+PLURAL+COMPLETE
daʁaΧ,daʁəΧa,PAST+THIRD+F+SINGULAR+COMPLETE
daʁaΧ,daʁəΧu,PAST+THIRD+M+PLURAL+COMPLETE
daʁaΧ,daʁaΧ,PAST+THIRD+M+SINGULAR+COMPLETE
daʁaΧ,doʁəΧot,PRESENT+FIRST+F+PLURAL+COMPLETE
daʁaΧ,doʁeΧet,PRESENT+FIRST+F+SINGULAR+COMPLETE
daʁaΧ,doʁəΧim,PRESENT+FIRST+M+PLURAL+COMPLETE
daʁaΧ,doʁeiΧ,PRESENT+FIRST+M+SINGULAR+COMPLETE
daʁaΧ,doʁəΧot,PRESENT+SECOND+F+PLURAL+COMPLETE
daʁaΧ,doʁeΧet,PRESENT+SECOND+F+SINGULAR+COMPLETE
daʁaΧ,doʁəΧim,PRESENT+SECOND+M+PLURAL+COMPLETE
daʁaΧ,doʁeiΧ,PRESENT+SECOND+M+SINGULAR+COMPLETE
daʁaΧ,doʁəΧot,PRESENT+THIRD+F+PLURAL+COMPLETE
daʁaΧ,doʁeΧet,PRESENT+THIRD+F+SINGULAR+COMPLETE
daʁaΧ,doʁəΧim,PRESENT+THIRD+M+PLURAL+COMPLETE
daʁaΧ,doʁeiΧ,PRESENT+THIRD+M+SINGULAR+COMPLETE
davaq,nidbaq,FUTURE+FIRST+MF+PLURAL+COMPLETE
davaq,ʔedbaq,FUTURE+FIRST+MF+SINGULAR+COMPLETE
davaq,dəvaqna,IMPERATIVE+SECOND+F+PLURAL+COMPLETE
davaq,divqi,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
davaq,divqu,IMPERATIVE+SECOND+M+PLURAL+COMPLETE
davaq,dəvaq,IMPERATIVE+SECOND+M+SINGULAR+COMPLETE
davaq,lidboq,INFINITIVE+E+E+E+COMPLETE
davaq,lidboq,INFINITIVE+E+E+E+MISSING
davaq,davaqnu,PAST+FIRST+MF+PLURAL+COMPLETE
davaq,davaqti,PAST+FIRST+MF+SINGULAR+COMPLETE
davaq,dəvaqten,PAST+SECOND+F+PLURAL+COMPLETE
davaq,davaqt,PAST+SECOND+F+SINGULAR+COMPLETE
davaq,dəvaqtem,PAST+SECOND+M+PLURAL+COMPLETE
davaq,davaqta,PAST+SECOND+M+SINGULAR+COMPLETE
davaq,davəqu,PAST+THIRD+F+PLURAL+COMPLETE
davaq,davəqa,PAST+THIRD+F+SINGULAR+COMPLETE
davaq,davəqu,PAST+THIRD+M+PLURAL+COMPLETE
davaq,davaq,PAST+THIRD+M+SINGULAR+COMPLETE
davaq,dəveiqot,PRESENT+FIRST+F+PLURAL+COMPLETE
davaq,dəveiqa,PRESENT+FIRST+F+SINGULAR+COMPLETE
davaq,dəveiqim,PRESENT+FIRST+M+PLURAL+COMPLETE
davaq,daveiq,PRESENT+FIRST+M+SINGULAR+COMPLETE
davaq,dəveiqot,PRESENT+SECOND+F+PLURAL+COMPLETE
davaq,dəveiqa,PRESENT+SECOND+F+SINGULAR+COMPLETE
davaq,dəveiqim,PRESENT+SECOND+M+PLURAL+COMPLETE
davaq,daveiq,PRESENT+SECOND+M+SINGULAR+COMPLETE
davaq,dəveiqot,PRESENT+THIRD+F+PLURAL+COMPLETE
davaq,dəveiqa,PRESENT+THIRD+F+SINGULAR+COMPLETE
davaq,dəveiqim,PRESENT+THIRD+M+PLURAL+COMPLETE
davaq,daveiq,PRESENT+THIRD+M+SINGULAR+COMPLETE
daʔag,nidʔag,FUTURE+FIRST+MF+PLURAL+COMPLETE
daʔag,ʔedʔag,FUTURE+FIRST+MF+SINGULAR+COMPLETE
daʔag,daʔagu,IMPERATIVE+SECOND+F+PLURAL+COMPLETE
daʔag,daʔagi,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
daʔag,daʔagu,IMPERATIVE+SECOND+M+PLURAL+COMPLETE
daʔag,dəʔag,IMPERATIVE+SECOND+M+SINGULAR+COMPLETE
daʔag,lidʔog,INFINITIVE+E+E+E+COMPLETE
daʔag,lidʔog,INFINITIVE+E+E+E+MISSING
daʔag,daʔagnu,PAST+FIRST+MF+PLURAL+COMPLETE
daʔag,daʔagti,PAST+FIRST+MF+SINGULAR+COMPLETE
daʔag,dəʔagten,PAST+SECOND+F+PLURAL+COMPLETE
daʔag,daʔagt,PAST+SECOND+F+SINGULAR+COMPLETE
daʔag,dəʔagtem,PAST+SECOND+M+PLURAL+COMPLETE
daʔag,daʔagta,PAST+SECOND+M+SINGULAR+COMPLETE
daʔag,daʔagu,PAST+THIRD+F+PLURAL+COMPLETE
daʔag,daʔaga,PAST+THIRD+F+SINGULAR+COMPLETE
daʔag,daʔagu,PAST+THIRD+M+PLURAL+COMPLETE
daʔag,daʔag,PAST+THIRD+M+SINGULAR+COMPLETE
daʔag,doʔagot,PRESENT+FIRST+F+PLURAL+COMPLETE
daʔag,doʔeget,PRESENT+FIRST+F+SINGULAR+COMPLETE
daʔag,doʔagim,PRESENT+FIRST+M+PLURAL+COMPLETE
daʔag,doʔeig,PRESENT+FIRST+M+SINGULAR+COMPLETE
daʔag,doʔagot,PRESENT+SECOND+F+PLURAL+COMPLETE
daʔag,doʔeget,PRESENT+SECOND+F+SINGULAR+COMPLETE
daʔag,doʔagim,PRESENT+SECOND+M+PLURAL+COMPLETE
daʔag,doʔeig,PRESENT+SECOND+M+SINGULAR+COMPLETE
daʔag,doʔagot,PRESENT+THIRD+F+PLURAL+COMPLETE
daʔag,doʔeget,PRESENT+THIRD+F+SINGULAR+COMPLETE
daʔag,doʔagim,PRESENT+THIRD+M+PLURAL+COMPLETE
daʔag,doʔeig,PRESENT+THIRD+M+SINGULAR+COMPLETE
daʔav,nidʔav,FUTURE+FIRST+MF+PLURAL+COMPLETE
daʔav,ʔedʔav,FUTURE+FIRST+MF+SINGULAR+COMPLETE
daʔav,daʔavu,IMPERATIVE+SECOND+F+PLURAL+COMPLETE
daʔav,daʔavi,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
daʔav,daʔavu,IMPERATIVE+SECOND+M+PLURAL+COMPLETE
daʔav,dəʔav,IMPERATIVE+SECOND+M+SINGULAR+COMPLETE
daʔav,lidʔov,INFINITIVE+E+E+E+COMPLETE
